class	variable	value
DNA/DTM	Histoplasma capsulatum HCH143	0.001169478
DNA/DTT	Histoplasma capsulatum HCH143	1.17e-4
DNA/Helitron	Histoplasma capsulatum HCH143	8.42e-4
LINE/unknown	Histoplasma capsulatum HCH143	0.005214084
LTR/Copia	Histoplasma capsulatum HCH143	0.002648601
LTR/Gypsy	Histoplasma capsulatum HCH143	0
LTR/unknown	Histoplasma capsulatum HCH143	0.060651399
Low_complexity	Histoplasma capsulatum HCH143	0.004230401
MITE/DTM	Histoplasma capsulatum HCH143	5.11e-4
Simple_repeat	Histoplasma capsulatum HCH143	0.013160198
TIR/Tc1_Mariner	Histoplasma capsulatum HCH143	0
Unknown	Histoplasma capsulatum HCH143	0.048053163
MITE/DTC	Histoplasma capsulatum HCH143	3.81e-4
MITE/DTH	Histoplasma capsulatum HCH143	0
MITE/DTT	Histoplasma capsulatum HCH143	8.81e-6
LTR/TRIM	Histoplasma capsulatum HCH143	0
TIR/PiggyBac	Histoplasma capsulatum HCH143	0
LTR/Copia_1	Histoplasma capsulatum HCH143	0
LTR/Copia_2	Histoplasma capsulatum HCH143	0
LTR/Copia_4	Histoplasma capsulatum HCH143	0
LTR/Gypsy_1	Histoplasma capsulatum HCH143	0
LTR/Gypsy_2	Histoplasma capsulatum HCH143	0
LTR/Gypsy_3	Histoplasma capsulatum HCH143	0
DNAauto/Helitron	Histoplasma capsulatum HCH143	0
DNAnona/Helitron	Histoplasma capsulatum HCH143	0
LTR/Solo	Histoplasma capsulatum HCH143	0
MITE/DTA	Histoplasma capsulatum HCH143	0.004495078
Satellite	Histoplasma capsulatum HCH143	0
DNA/DTA	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
DNA/DTC	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	5.35e-4
DNA/DTH	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	1.02e-4
DNA/DTM	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.023023972
DNA/DTT	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
DNA/Helitron	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.00163615
LINE/unknown	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	9.07e-4
LTR/Copia	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Gypsy	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/unknown	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.039161458
Low_complexity	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.003461243
MITE/DTM	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	1.1e-5
Simple_repeat	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.01440779
TIR/Tc1_Mariner	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
Unknown	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0.070273385
MITE/DTC	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	2.38e-4
MITE/DTH	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
MITE/DTT	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/TRIM	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
TIR/PiggyBac	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Copia_1	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Copia_2	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Copia_4	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Gypsy_1	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Gypsy_2	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Gypsy_3	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
DNAauto/Helitron	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
DNAnona/Helitron	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
LTR/Solo	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
MITE/DTA	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
Satellite	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	0
DNA/DTA	Histoplasma capsulatum HISSP-FGTRO0285	0
DNA/DTC	Histoplasma capsulatum HISSP-FGTRO0285	0.001987723
DNA/DTH	Histoplasma capsulatum HISSP-FGTRO0285	9.98e-4
DNA/DTM	Histoplasma capsulatum HISSP-FGTRO0285	4.18e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGTRO0285	9.47e-5
DNA/Helitron	Histoplasma capsulatum HISSP-FGTRO0285	0.005089235
LINE/unknown	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Copia	Histoplasma capsulatum HISSP-FGTRO0285	3.31e-5
LTR/Gypsy	Histoplasma capsulatum HISSP-FGTRO0285	4.89e-5
LTR/unknown	Histoplasma capsulatum HISSP-FGTRO0285	1.81e-6
Low_complexity	Histoplasma capsulatum HISSP-FGTRO0285	9.65e-4
MITE/DTM	Histoplasma capsulatum HISSP-FGTRO0285	6.14e-5
Simple_repeat	Histoplasma capsulatum HISSP-FGTRO0285	0.005188698
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGTRO0285	0
Unknown	Histoplasma capsulatum HISSP-FGTRO0285	0.023037192
MITE/DTC	Histoplasma capsulatum HISSP-FGTRO0285	1.96e-5
MITE/DTH	Histoplasma capsulatum HISSP-FGTRO0285	0
MITE/DTT	Histoplasma capsulatum HISSP-FGTRO0285	2.28e-5
LTR/TRIM	Histoplasma capsulatum HISSP-FGTRO0285	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGTRO0285	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGTRO0285	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGTRO0285	0
LTR/Solo	Histoplasma capsulatum HISSP-FGTRO0285	0
MITE/DTA	Histoplasma capsulatum HISSP-FGTRO0285	0
Satellite	Histoplasma capsulatum HISSP-FGTRO0285	0
DNA/DTA	Histoplasma capsulatum HISSP-FGPSO2043	0
DNA/DTC	Histoplasma capsulatum HISSP-FGPSO2043	0.003078574
DNA/DTH	Histoplasma capsulatum HISSP-FGPSO2043	9.61e-4
DNA/DTM	Histoplasma capsulatum HISSP-FGPSO2043	5.26e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGPSO2043	0
DNA/Helitron	Histoplasma capsulatum HISSP-FGPSO2043	0.004783889
LINE/unknown	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Copia	Histoplasma capsulatum HISSP-FGPSO2043	2.26e-5
LTR/Gypsy	Histoplasma capsulatum HISSP-FGPSO2043	1.11e-4
LTR/unknown	Histoplasma capsulatum HISSP-FGPSO2043	0
Low_complexity	Histoplasma capsulatum HISSP-FGPSO2043	0.001103963
MITE/DTM	Histoplasma capsulatum HISSP-FGPSO2043	5.32e-5
Simple_repeat	Histoplasma capsulatum HISSP-FGPSO2043	0.005387631
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGPSO2043	0
Unknown	Histoplasma capsulatum HISSP-FGPSO2043	0.012514475
MITE/DTC	Histoplasma capsulatum HISSP-FGPSO2043	0
MITE/DTH	Histoplasma capsulatum HISSP-FGPSO2043	0
MITE/DTT	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGPSO2043	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGPSO2043	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGPSO2043	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGPSO2043	0
LTR/Solo	Histoplasma capsulatum HISSP-FGPSO2043	0
MITE/DTA	Histoplasma capsulatum HISSP-FGPSO2043	0
Satellite	Histoplasma capsulatum HISSP-FGPSO2043	0
DNA/DTA	Histoplasma capsulatum HISSP-FGPIE2055	0
DNA/DTC	Histoplasma capsulatum HISSP-FGPIE2055	0.023263954
DNA/DTH	Histoplasma capsulatum HISSP-FGPIE2055	4.4e-5
DNA/DTM	Histoplasma capsulatum HISSP-FGPIE2055	4.51e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGPIE2055	1e-4
DNA/Helitron	Histoplasma capsulatum HISSP-FGPIE2055	0.004349543
LINE/unknown	Histoplasma capsulatum HISSP-FGPIE2055	0.003059349
LTR/Copia	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Gypsy	Histoplasma capsulatum HISSP-FGPIE2055	0.08567355
LTR/unknown	Histoplasma capsulatum HISSP-FGPIE2055	0.037031247
Low_complexity	Histoplasma capsulatum HISSP-FGPIE2055	0.003156033
MITE/DTM	Histoplasma capsulatum HISSP-FGPIE2055	4.2e-5
Simple_repeat	Histoplasma capsulatum HISSP-FGPIE2055	0.013014844
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGPIE2055	0
Unknown	Histoplasma capsulatum HISSP-FGPIE2055	0.049685323000000003
MITE/DTC	Histoplasma capsulatum HISSP-FGPIE2055	0
MITE/DTH	Histoplasma capsulatum HISSP-FGPIE2055	0
MITE/DTT	Histoplasma capsulatum HISSP-FGPIE2055	1.31e-5
LTR/TRIM	Histoplasma capsulatum HISSP-FGPIE2055	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGPIE2055	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGPIE2055	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGPIE2055	0
LTR/Solo	Histoplasma capsulatum HISSP-FGPIE2055	0
MITE/DTA	Histoplasma capsulatum HISSP-FGPIE2055	0
Satellite	Histoplasma capsulatum HISSP-FGPIE2055	0
DNA/DTA	Histoplasma capsulatum HISSP-FGPIA2052	1.54e-4
DNA/DTC	Histoplasma capsulatum HISSP-FGPIA2052	0.002438936
DNA/DTH	Histoplasma capsulatum HISSP-FGPIA2052	0
DNA/DTM	Histoplasma capsulatum HISSP-FGPIA2052	0.004473923
DNA/DTT	Histoplasma capsulatum HISSP-FGPIA2052	0
DNA/Helitron	Histoplasma capsulatum HISSP-FGPIA2052	0
LINE/unknown	Histoplasma capsulatum HISSP-FGPIA2052	0.002794272
LTR/Copia	Histoplasma capsulatum HISSP-FGPIA2052	4.77e-4
LTR/Gypsy	Histoplasma capsulatum HISSP-FGPIA2052	0.029482293
LTR/unknown	Histoplasma capsulatum HISSP-FGPIA2052	0.13972695
Low_complexity	Histoplasma capsulatum HISSP-FGPIA2052	0.003664061
MITE/DTM	Histoplasma capsulatum HISSP-FGPIA2052	3.06e-4
Simple_repeat	Histoplasma capsulatum HISSP-FGPIA2052	0.013859852
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGPIA2052	0
Unknown	Histoplasma capsulatum HISSP-FGPIA2052	0.072196941
MITE/DTC	Histoplasma capsulatum HISSP-FGPIA2052	3.69e-4
MITE/DTH	Histoplasma capsulatum HISSP-FGPIA2052	0
MITE/DTT	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGPIA2052	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGPIA2052	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGPIA2052	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGPIA2052	0
LTR/Solo	Histoplasma capsulatum HISSP-FGPIA2052	0
MITE/DTA	Histoplasma capsulatum HISSP-FGPIA2052	5.8e-5
Satellite	Histoplasma capsulatum HISSP-FGPIA2052	0
DNA/DTA	Histoplasma capsulatum HISSP-FGPERS2034	0
DNA/DTC	Histoplasma capsulatum HISSP-FGPERS2034	2.29e-4
DNA/DTH	Histoplasma capsulatum HISSP-FGPERS2034	1.94e-4
DNA/DTM	Histoplasma capsulatum HISSP-FGPERS2034	3.28e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGPERS2034	0
DNA/Helitron	Histoplasma capsulatum HISSP-FGPERS2034	0.001258673
LINE/unknown	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Copia	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Gypsy	Histoplasma capsulatum HISSP-FGPERS2034	0.003812624
LTR/unknown	Histoplasma capsulatum HISSP-FGPERS2034	0.078049825
Low_complexity	Histoplasma capsulatum HISSP-FGPERS2034	0.003597122
MITE/DTM	Histoplasma capsulatum HISSP-FGPERS2034	8.75e-5
Simple_repeat	Histoplasma capsulatum HISSP-FGPERS2034	0.014649251
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGPERS2034	0
Unknown	Histoplasma capsulatum HISSP-FGPERS2034	0.061059157
MITE/DTC	Histoplasma capsulatum HISSP-FGPERS2034	8.26e-4
MITE/DTH	Histoplasma capsulatum HISSP-FGPERS2034	0
MITE/DTT	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGPERS2034	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGPERS2034	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGPERS2034	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGPERS2034	0
LTR/Solo	Histoplasma capsulatum HISSP-FGPERS2034	0
MITE/DTA	Histoplasma capsulatum HISSP-FGPERS2034	9.2e-5
Satellite	Histoplasma capsulatum HISSP-FGPERS2034	0
DNA/DTA	Histoplasma capsulatum HISSP-FGMAR2044	0
DNA/DTC	Histoplasma capsulatum HISSP-FGMAR2044	0.001781126
DNA/DTH	Histoplasma capsulatum HISSP-FGMAR2044	0.001560813
DNA/DTM	Histoplasma capsulatum HISSP-FGMAR2044	0.001418951
DNA/DTT	Histoplasma capsulatum HISSP-FGMAR2044	2.17e-4
DNA/Helitron	Histoplasma capsulatum HISSP-FGMAR2044	0.008680955
LINE/unknown	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Copia	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Gypsy	Histoplasma capsulatum HISSP-FGMAR2044	4.42e-4
LTR/unknown	Histoplasma capsulatum HISSP-FGMAR2044	0.001868388
Low_complexity	Histoplasma capsulatum HISSP-FGMAR2044	9.03e-4
MITE/DTM	Histoplasma capsulatum HISSP-FGMAR2044	9.06e-6
Simple_repeat	Histoplasma capsulatum HISSP-FGMAR2044	0.004974347
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGMAR2044	5.65e-4
Unknown	Histoplasma capsulatum HISSP-FGMAR2044	0.016332519
MITE/DTC	Histoplasma capsulatum HISSP-FGMAR2044	3.94e-5
MITE/DTH	Histoplasma capsulatum HISSP-FGMAR2044	2.19e-5
MITE/DTT	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGMAR2044	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGMAR2044	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGMAR2044	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGMAR2044	0
LTR/Solo	Histoplasma capsulatum HISSP-FGMAR2044	0
MITE/DTA	Histoplasma capsulatum HISSP-FGMAR2044	0
Satellite	Histoplasma capsulatum HISSP-FGMAR2044	0
DNA/DTA	Histoplasma capsulatum HISSP-FGLIN2055	8.45e-5
DNA/DTC	Histoplasma capsulatum HISSP-FGLIN2055	0.003527694
DNA/DTH	Histoplasma capsulatum HISSP-FGLIN2055	0
DNA/DTM	Histoplasma capsulatum HISSP-FGLIN2055	0.013675528
DNA/DTT	Histoplasma capsulatum HISSP-FGLIN2055	0.001845133
DNA/Helitron	Histoplasma capsulatum HISSP-FGLIN2055	0.002616518
LINE/unknown	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Copia	Histoplasma capsulatum HISSP-FGLIN2055	6.04e-4
LTR/Gypsy	Histoplasma capsulatum HISSP-FGLIN2055	0.011530181
LTR/unknown	Histoplasma capsulatum HISSP-FGLIN2055	0.055602085
Low_complexity	Histoplasma capsulatum HISSP-FGLIN2055	0.002106378
MITE/DTM	Histoplasma capsulatum HISSP-FGLIN2055	1.69e-4
Simple_repeat	Histoplasma capsulatum HISSP-FGLIN2055	0.013072326
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGLIN2055	0
Unknown	Histoplasma capsulatum HISSP-FGLIN2055	0.013711221000000001
MITE/DTC	Histoplasma capsulatum HISSP-FGLIN2055	2.47e-5
MITE/DTH	Histoplasma capsulatum HISSP-FGLIN2055	0
MITE/DTT	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGLIN2055	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGLIN2055	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGLIN2055	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGLIN2055	0
LTR/Solo	Histoplasma capsulatum HISSP-FGLIN2055	0
MITE/DTA	Histoplasma capsulatum HISSP-FGLIN2055	6.37e-5
Satellite	Histoplasma capsulatum HISSP-FGLIN2055	0
DNA/DTA	Histoplasma capsulatum HISSP-FGJOS2044	7.65e-4
DNA/DTC	Histoplasma capsulatum HISSP-FGJOS2044	0.015859026
DNA/DTH	Histoplasma capsulatum HISSP-FGJOS2044	1.28e-4
DNA/DTM	Histoplasma capsulatum HISSP-FGJOS2044	0.006007821
DNA/DTT	Histoplasma capsulatum HISSP-FGJOS2044	0
DNA/Helitron	Histoplasma capsulatum HISSP-FGJOS2044	0.001258726
LINE/unknown	Histoplasma capsulatum HISSP-FGJOS2044	0.001928165
LTR/Copia	Histoplasma capsulatum HISSP-FGJOS2044	0.001944483
LTR/Gypsy	Histoplasma capsulatum HISSP-FGJOS2044	0.00597532
LTR/unknown	Histoplasma capsulatum HISSP-FGJOS2044	0.130786484
Low_complexity	Histoplasma capsulatum HISSP-FGJOS2044	0.003419613
MITE/DTM	Histoplasma capsulatum HISSP-FGJOS2044	3.91e-4
Simple_repeat	Histoplasma capsulatum HISSP-FGJOS2044	0.014330807
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGJOS2044	6.81e-4
Unknown	Histoplasma capsulatum HISSP-FGJOS2044	0.056727063
MITE/DTC	Histoplasma capsulatum HISSP-FGJOS2044	0
MITE/DTH	Histoplasma capsulatum HISSP-FGJOS2044	0
MITE/DTT	Histoplasma capsulatum HISSP-FGJOS2044	1.7e-5
LTR/TRIM	Histoplasma capsulatum HISSP-FGJOS2044	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGJOS2044	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGJOS2044	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGJOS2044	0
LTR/Solo	Histoplasma capsulatum HISSP-FGJOS2044	0
MITE/DTA	Histoplasma capsulatum HISSP-FGJOS2044	0
Satellite	Histoplasma capsulatum HISSP-FGJOS2044	0
DNA/DTA	Histoplasma capsulatum HISSP-FGFIN2028	0
DNA/DTC	Histoplasma capsulatum HISSP-FGFIN2028	0.002281191
DNA/DTH	Histoplasma capsulatum HISSP-FGFIN2028	1.48e-4
DNA/DTM	Histoplasma capsulatum HISSP-FGFIN2028	8.97e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGFIN2028	0
DNA/Helitron	Histoplasma capsulatum HISSP-FGFIN2028	0.004518717
LINE/unknown	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Copia	Histoplasma capsulatum HISSP-FGFIN2028	3.45e-5
LTR/Gypsy	Histoplasma capsulatum HISSP-FGFIN2028	5.4e-5
LTR/unknown	Histoplasma capsulatum HISSP-FGFIN2028	0.002048956
Low_complexity	Histoplasma capsulatum HISSP-FGFIN2028	0.001051042
MITE/DTM	Histoplasma capsulatum HISSP-FGFIN2028	2.15e-5
Simple_repeat	Histoplasma capsulatum HISSP-FGFIN2028	0.005377688
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-FGFIN2028	0
Unknown	Histoplasma capsulatum HISSP-FGFIN2028	0.020129264
MITE/DTC	Histoplasma capsulatum HISSP-FGFIN2028	2.05e-5
MITE/DTH	Histoplasma capsulatum HISSP-FGFIN2028	0
MITE/DTT	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/TRIM	Histoplasma capsulatum HISSP-FGFIN2028	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Copia_1	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Copia_2	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Copia_4	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-FGFIN2028	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-FGFIN2028	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-FGFIN2028	0
LTR/Solo	Histoplasma capsulatum HISSP-FGFIN2028	0
MITE/DTA	Histoplasma capsulatum HISSP-FGFIN2028	0
Satellite	Histoplasma capsulatum HISSP-FGFIN2028	0
DNA/DTA	Histoplasma capsulatum HHISSP-FGFER2036	0
DNA/DTC	Histoplasma capsulatum HHISSP-FGFER2036	1.39e-4
DNA/DTH	Histoplasma capsulatum HHISSP-FGFER2036	1.06e-4
DNA/DTM	Histoplasma capsulatum HHISSP-FGFER2036	5.04e-4
DNA/DTT	Histoplasma capsulatum HHISSP-FGFER2036	0
DNA/Helitron	Histoplasma capsulatum HHISSP-FGFER2036	0.006440473
LINE/unknown	Histoplasma capsulatum HHISSP-FGFER2036	0.005285955
LTR/Copia	Histoplasma capsulatum HHISSP-FGFER2036	0.00184496
LTR/Gypsy	Histoplasma capsulatum HHISSP-FGFER2036	0.023974965
LTR/unknown	Histoplasma capsulatum HHISSP-FGFER2036	0.174425491
Low_complexity	Histoplasma capsulatum HHISSP-FGFER2036	0.003321006
MITE/DTM	Histoplasma capsulatum HHISSP-FGFER2036	0
Simple_repeat	Histoplasma capsulatum HHISSP-FGFER2036	0.013587707
TIR/Tc1_Mariner	Histoplasma capsulatum HHISSP-FGFER2036	0
Unknown	Histoplasma capsulatum HHISSP-FGFER2036	0.039617243
MITE/DTC	Histoplasma capsulatum HHISSP-FGFER2036	3.95e-5
MITE/DTH	Histoplasma capsulatum HHISSP-FGFER2036	0
MITE/DTT	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/TRIM	Histoplasma capsulatum HHISSP-FGFER2036	0
TIR/PiggyBac	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Copia_1	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Copia_2	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Copia_4	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Gypsy_1	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Gypsy_2	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Gypsy_3	Histoplasma capsulatum HHISSP-FGFER2036	0
DNAauto/Helitron	Histoplasma capsulatum HHISSP-FGFER2036	0
DNAnona/Helitron	Histoplasma capsulatum HHISSP-FGFER2036	0
LTR/Solo	Histoplasma capsulatum HHISSP-FGFER2036	0
MITE/DTA	Histoplasma capsulatum HHISSP-FGFER2036	6.07e-5
Satellite	Histoplasma capsulatum HHISSP-FGFER2036	0
DNA/DTA	Histoplasma capsulatum HISSP-FGFAR0189	0
DNA/DTC	Histoplasma capsulatum HISSP-FGFAR0189	0.001890838
DNA/DTH	Histoplasma capsulatum HISSP-FGFAR0189	0
DNA/DTM	Histoplasma capsulatum HISSP-FGFAR0189	8.39e-4
DNA/DTT	Histoplasma capsulatum HISSP-FGFAR0189	9.17e-5
DNA/Helitron	Histoplasma capsulatum HISSP-FGFAR0189	0.005552857
LINE/unknown	Histoplasma capsulatum HISSP-FGFAR0189	0
LTR/Copia	Histoplasma capsulatum HISSP-FGFAR0189	3.02e-5
LTR/Gypsy	Histoplasma capsulatum HISSP-FGFAR0189	6.39e-5
LTR/unknown	Histoplasma capsulatum HISSP-FGFAR0189	1.75e-6
Low_complexity	Histoplasma capsulatum HISSP-FGFAR0189	0.00106135
MITE/DTM	Histoplasma capsulatum HISSP-FGFAR0189	5.32e-5
